"station","latitude","longitude","numDocks","timestamp","year","month","day","hour","weekday","weekhour","isHoliday","windMaxSpeed.m.s","windMeanSpeed.m.s","windDirection.grades","temperature.C","relHumidity.HR","airPressure.mb","precipitation.l.m2","bikes_3h_ago","full_profile_3h_diff_bikes","full_profile_bikes","short_profile_3h_diff_bikes","short_profile_bikes","bikes"
257,39.4614520571,-0.4004871671,15,1412182800,2014,10,1,19,"Wednesday",68,0,11.3,4.8,22.5,22.9,80,971,0,3,NA,NA,NA,NA,11
257,39.4614520571,-0.4004871671,15,1412186400,2014,10,1,20,"Wednesday",69,0,9.7,4.8,0,22.7,81,971,0,5,NA,NA,NA,NA,12
257,39.4614520571,-0.4004871671,15,1412190000,2014,10,1,21,"Wednesday",70,0,8,1.6,22.5,22.7,82,1021.3,0,7,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412193600,2014,10,1,22,"Wednesday",71,0,6.4,1.6,45,22.6,82,983.9,0,11,NA,NA,NA,NA,11
257,39.4614520571,-0.4004871671,15,1412197200,2014,10,1,23,"Wednesday",72,0,3.2,0,67.5,22.5,83,1001.9,0,12,NA,NA,NA,NA,10
257,39.4614520571,-0.4004871671,15,1412200800,2014,10,2,0,"Thursday",73,0,4.8,1.6,157.5,21.8,85,909.1,0,14,NA,NA,NA,NA,11
257,39.4614520571,-0.4004871671,15,1412204400,2014,10,2,1,"Thursday",74,0,8,3.2,67.5,21.6,86,909.1,0,11,NA,NA,NA,NA,11
257,39.4614520571,-0.4004871671,15,1412208000,2014,10,2,2,"Thursday",75,0,3.2,1.6,112.5,21.2,87,962.3,0,10,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412211600,2014,10,2,3,"Thursday",76,0,4.8,1.6,67.5,20.8,87,1030.4,0,11,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412215200,2014,10,2,4,"Thursday",77,0,4.8,1.6,135,20.7,87,1021,0,11,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412218800,2014,10,2,5,"Thursday",78,0,4.8,1.6,135,20.6,85,893.9,0,13,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412222400,2014,10,2,6,"Thursday",79,0,9.7,6.4,157.5,19.6,87,1049,0,13,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412226000,2014,10,2,7,"Thursday",80,0,4.8,3.2,157.5,19.9,85,941.4,0,13,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412229600,2014,10,2,8,"Thursday",81,0,6.4,3.2,157.5,19.3,86,1047.7,0,13,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412233200,2014,10,2,9,"Thursday",82,0,6.4,1.6,157.5,19.5,84,903.3,0,13,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412236800,2014,10,2,10,"Thursday",83,0,6.4,1.6,90,22.1,75,1003.5,0,13,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412240400,2014,10,2,11,"Thursday",84,0,16.1,4.8,45,22.7,74,1037.1,0,7,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412244000,2014,10,2,12,"Thursday",85,0,17.7,9.7,67.5,23.3,74,862.2,0,4,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412247600,2014,10,2,13,"Thursday",86,0,20.9,9.7,67.5,23.4,74,896.7,0,3,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412251200,2014,10,2,14,"Thursday",87,0,14.5,6.4,0,24.4,72,887.8,0,0,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412254800,2014,10,2,15,"Thursday",88,0,20.9,9.7,67.5,24.2,73,887.8,0,1,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412258400,2014,10,2,16,"Thursday",89,0,16.1,6.4,0,23.4,74,906.1,0,2,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412262000,2014,10,2,17,"Thursday",90,0,9.7,3.2,0,23.1,74,930.8,0,3,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412265600,2014,10,2,18,"Thursday",91,0,6.4,1.6,225,22.6,77,930.8,0,0,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412269200,2014,10,2,19,"Thursday",92,0,11.3,3.2,67.5,23,74,907.4,0,2,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412272800,2014,10,2,20,"Thursday",93,0,8,1.6,22.5,22.7,76,892.5,0,1,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412276400,2014,10,2,21,"Thursday",94,0,3.2,1.6,157.5,22.3,80,989,0,2,NA,NA,NA,NA,6
257,39.4614520571,-0.4004871671,15,1412280000,2014,10,2,22,"Thursday",95,0,0,0,146.3,21.8,81,875.4,0,0,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412283600,2014,10,2,23,"Thursday",96,0,1.6,0,157.5,20.9,85,929.9,0,5,NA,NA,NA,NA,6
257,39.4614520571,-0.4004871671,15,1412287200,2014,10,3,0,"Friday",97,0,3.2,0,180,20.6,84,929.9,0,6,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412290800,2014,10,3,1,"Friday",98,0,8,1.6,157.5,20.1,85,888,0,7,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412294400,2014,10,3,2,"Friday",99,0,8,3.2,157.5,19.3,87,868.9,0,6,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412298000,2014,10,3,3,"Friday",100,0,3.2,0,135,19.2,87,910.1,0,7,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412301600,2014,10,3,4,"Friday",101,0,4.8,1.6,157.5,19.2,85,885.8,0,7,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412305200,2014,10,3,5,"Friday",102,0,6.4,3.2,157.5,18.7,86,882,0,7,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412308800,2014,10,3,6,"Friday",103,0,6.4,3.2,157.5,18.4,85,973,0,7,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412312400,2014,10,3,7,"Friday",104,0,6.4,3.2,157.5,18.3,84,995.1,0,7,NA,NA,NA,NA,6
257,39.4614520571,-0.4004871671,15,1412316000,2014,10,3,8,"Friday",105,0,8,3.2,157.5,18.2,83,1008.4,0,7,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412319600,2014,10,3,9,"Friday",106,0,11.3,6.4,157.5,18.4,82,1008.4,0,7,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412323200,2014,10,3,10,"Friday",107,0,9.7,4.8,157.5,19.9,77,1008.4,0,6,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412326800,2014,10,3,11,"Friday",108,0,9.7,3.2,157.5,22,72,887.9,0,0,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412330400,2014,10,3,12,"Friday",109,0,4.8,1.6,157.5,24.1,66,926.5,0,0,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412334000,2014,10,3,13,"Friday",110,0,8,3.2,45,24.4,61,895.8,0,0,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412337600,2014,10,3,14,"Friday",111,0,11.3,1.6,0,25.5,60,885.7,0,0,NA,NA,NA,NA,9
257,39.4614520571,-0.4004871671,15,1412341200,2014,10,3,15,"Friday",112,0,16.1,6.4,0,25.5,59,894.1,0,0,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412344800,2014,10,3,16,"Friday",113,0,14.5,6.4,315,25.4,61,893.7,0,3,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412348400,2014,10,3,17,"Friday",114,0,17.7,6.4,337.5,25.1,64,900.5,0,9,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412352000,2014,10,3,18,"Friday",115,0,16.1,6.4,337.5,24.7,65,873.9,0,7,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412355600,2014,10,3,19,"Friday",116,0,17.7,8,315,23.9,70,870.4,0,7,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412359200,2014,10,3,20,"Friday",117,0,9.7,4.8,337.5,22.8,77,1002.7,0,5,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412362800,2014,10,3,21,"Friday",118,0,8,3.2,337.5,22.5,79,911.4,0,3,NA,NA,NA,NA,6
257,39.4614520571,-0.4004871671,15,1412366400,2014,10,3,22,"Friday",119,0,3.2,0,337.5,22.4,80,908.6,0,1,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412370000,2014,10,3,23,"Friday",120,0,3.2,0,315,22.1,81,894.2,0,1,NA,NA,NA,NA,8
257,39.4614520571,-0.4004871671,15,1412373600,2014,10,4,0,"Saturday",121,0,0,0,146.3,21.2,84,979,0,6,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412377200,2014,10,4,1,"Saturday",122,0,4.8,1.6,157.5,20.3,86,1070.7,0,5,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412380800,2014,10,4,2,"Saturday",123,0,3.2,0,157.5,19.9,86,1009.9,0,8,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412384400,2014,10,4,3,"Saturday",124,0,4.8,1.6,157.5,19.4,86,1009.9,0,7,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412388000,2014,10,4,4,"Saturday",125,0,6.4,1.6,157.5,19.2,87,956.8,0,7,NA,NA,NA,NA,8
257,39.4614520571,-0.4004871671,15,1412391600,2014,10,4,5,"Saturday",126,0,0,0,146.3,19.2,88,1045.8,0,7,NA,NA,NA,NA,9
257,39.4614520571,-0.4004871671,15,1412395200,2014,10,4,6,"Saturday",127,0,3.2,1.6,180,18.7,88,888.1,0,7,NA,NA,NA,NA,10
257,39.4614520571,-0.4004871671,15,1412398800,2014,10,4,7,"Saturday",128,0,3.2,0,180,18.6,87,852.9,0,8,NA,NA,NA,NA,10
257,39.4614520571,-0.4004871671,15,1412402400,2014,10,4,8,"Saturday",129,0,0,0,146.3,18.2,86,855.6,0,9,NA,NA,NA,NA,10
257,39.4614520571,-0.4004871671,15,1412406000,2014,10,4,9,"Saturday",130,0,4.8,1.6,135,18.8,86,878.7,0,10,NA,NA,NA,NA,10
257,39.4614520571,-0.4004871671,15,1412409600,2014,10,4,10,"Saturday",131,0,0,0,146.3,22.1,79,866.5,0,10,NA,NA,NA,NA,10
257,39.4614520571,-0.4004871671,15,1412413200,2014,10,4,11,"Saturday",132,0,6.4,1.6,315,23.2,72,894.6,0,10,NA,NA,NA,NA,9
257,39.4614520571,-0.4004871671,15,1412416800,2014,10,4,12,"Saturday",133,0,4.8,1.6,337.5,23.8,67,846.7,0,10,NA,NA,NA,NA,8
257,39.4614520571,-0.4004871671,15,1412420400,2014,10,4,13,"Saturday",134,0,11.3,3.2,337.5,25.1,64,875.9,0,10,NA,NA,NA,NA,9
257,39.4614520571,-0.4004871671,15,1412424000,2014,10,4,14,"Saturday",135,0,14.5,8,337.5,24.9,67,848.5,0,9,NA,NA,NA,NA,10
257,39.4614520571,-0.4004871671,15,1412427600,2014,10,4,15,"Saturday",136,0,14.5,6.4,315,25.6,65,1079.1,0,8,NA,NA,NA,NA,9
257,39.4614520571,-0.4004871671,15,1412431200,2014,10,4,16,"Saturday",137,0,20.9,8,22.5,25.1,66,1062.1,0,9,NA,NA,NA,NA,8
257,39.4614520571,-0.4004871671,15,1412434800,2014,10,4,17,"Saturday",138,0,14.5,8,337.5,24.9,67,890.5,0,10,NA,NA,NA,NA,9
257,39.4614520571,-0.4004871671,15,1412438400,2014,10,4,18,"Saturday",139,0,12.9,6.4,22.5,24.8,65,867.8,0,9,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412442000,2014,10,4,19,"Saturday",140,0,12.9,6.4,337.5,24.3,71,1070.2,0,8,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412445600,2014,10,4,20,"Saturday",141,0,6.4,1.6,67.5,23.7,74,1070,0,9,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412449200,2014,10,4,21,"Saturday",142,0,8,4.8,67.5,23.2,81,875.9,0,4,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412452800,2014,10,4,22,"Saturday",143,0,12.9,6.4,67.5,22.5,81,949.2,0,3,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412456400,2014,10,4,23,"Saturday",144,0,9.7,4.8,135,22.3,80,931.1,0,3,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412460000,2014,10,5,0,"Sunday",145,0,12.9,6.4,135,22.2,80,857.8,0,2,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412463600,2014,10,5,1,"Sunday",146,0,4.8,1.6,135,21.6,80,863.7,0,2,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412467200,2014,10,5,2,"Sunday",147,0,3.2,0,180,21.1,83,996.7,0,4,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412470800,2014,10,5,3,"Sunday",148,0,3.2,0,180,21,83,977.3,0,5,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412474400,2014,10,5,4,"Sunday",149,0,1.6,0,157.5,20.4,85,968.4,0,3,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412478000,2014,10,5,5,"Sunday",150,0,1.6,0,180,20.2,86,885,0,2,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412481600,2014,10,5,6,"Sunday",151,0,3.2,0,135,20.3,85,877.9,0,1,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412485200,2014,10,5,7,"Sunday",152,0,4.8,1.6,157.5,20,86,875.7,0,0,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412488800,2014,10,5,8,"Sunday",153,0,11.3,3.2,157.5,19.6,86,880.1,0,0,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412492400,2014,10,5,9,"Sunday",154,0,6.4,1.6,157.5,19.7,85,880.4,0,1,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412496000,2014,10,5,10,"Sunday",155,0,9.7,3.2,157.5,20.6,81,872.4,0,1,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412499600,2014,10,5,11,"Sunday",156,0,14.5,3.2,67.5,23.2,70,991.1,0,1,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412503200,2014,10,5,12,"Sunday",157,0,25.7,14.5,67.5,23.9,62,868.7,0,0,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412506800,2014,10,5,13,"Sunday",158,0,33.8,19.3,45,23.2,70,967.5,0,0,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412510400,2014,10,5,14,"Sunday",159,0,32.2,16.1,67.5,22.9,72,840,0,0,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412514000,2014,10,5,15,"Sunday",160,0,33.8,16.1,45,23.2,71,826.5,0,0,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412517600,2014,10,5,16,"Sunday",161,0,29,16.1,22.5,22.9,72,828.9,0,1,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412521200,2014,10,5,17,"Sunday",162,0,29,14.5,67.5,22.8,73,828.9,0,5,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412524800,2014,10,5,18,"Sunday",163,0,19.3,11.3,22.5,22.6,74,1017.7,0,5,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412528400,2014,10,5,19,"Sunday",164,0,17.7,6.4,45,22.3,76,1019.4,0,3,NA,NA,NA,NA,1
257,39.4614520571,-0.4004871671,15,1412532000,2014,10,5,20,"Sunday",165,0,12.9,4.8,67.5,21.9,76,992.3,0,4,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412535600,2014,10,5,21,"Sunday",166,0,11.3,4.8,22.5,21.7,78,970.4,0,0,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412539200,2014,10,5,22,"Sunday",167,0,9.7,3.2,45,21.1,82,921.9,0,1,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412542800,2014,10,5,23,"Sunday",168,0,9.7,4.8,67.5,20.8,83,1023.8,0,5,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412546400,2014,10,6,0,"Monday",1,0,4.8,1.6,135,20.8,82,1023.8,0,4,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412550000,2014,10,6,1,"Monday",2,0,4.8,1.6,112.5,20.9,82,1023.8,0,3,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412553600,2014,10,6,2,"Monday",3,0,4.8,1.6,157.5,20.6,81,960.9,0,4,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412557200,2014,10,6,3,"Monday",4,0,6.4,1.6,157.5,19.8,84,904,0,5,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412560800,2014,10,6,4,"Monday",5,0,4.8,0,157.5,19.4,86,879.5,0,5,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412564400,2014,10,6,5,"Monday",6,0,0,0,146.3,19.7,85,877.3,0,5,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412568000,2014,10,6,6,"Monday",7,0,3.2,0,180,19.8,86,854.2,0,5,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412571600,2014,10,6,7,"Monday",8,0,1.6,0,225,20.2,84,1001.8,0,5,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412575200,2014,10,6,8,"Monday",9,0,4.8,0,247.5,20.1,84,872.4,0,5,NA,NA,NA,NA,0
257,39.4614520571,-0.4004871671,15,1412578800,2014,10,6,9,"Monday",10,0,3.2,0,225,20.3,84,1012.2,0,5,NA,NA,NA,NA,7
257,39.4614520571,-0.4004871671,15,1412582400,2014,10,6,10,"Monday",11,0,8,3.2,270,21.3,80,1012.4,0,4,NA,NA,NA,NA,10
257,39.4614520571,-0.4004871671,15,1412586000,2014,10,6,11,"Monday",12,0,9.7,3.2,247.5,22.6,76,1012.6,0,0,NA,NA,NA,NA,8
257,39.4614520571,-0.4004871671,15,1412589600,2014,10,6,12,"Monday",13,0,6.4,1.6,292.5,24.7,66,1012.2,0,7,NA,NA,NA,NA,8
257,39.4614520571,-0.4004871671,15,1412593200,2014,10,6,13,"Monday",14,0,11.3,3.2,225,25.6,63,1011.7,0,10,NA,NA,NA,NA,9
257,39.4614520571,-0.4004871671,15,1412596800,2014,10,6,14,"Monday",15,0,16.1,6.4,315,26.5,59,1010.9,0,8,NA,NA,NA,NA,12
257,39.4614520571,-0.4004871671,15,1412600400,2014,10,6,15,"Monday",16,0,22.5,9.7,337.5,25.8,67,1010.2,0,8,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412604000,2014,10,6,16,"Monday",17,0,27.4,9.7,337.5,25.8,66,1009.5,0,9,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412607600,2014,10,6,17,"Monday",18,0,29,11.3,337.5,25.6,68,1009,0,12,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412611200,2014,10,6,18,"Monday",19,0,24.1,11.3,337.5,25.6,68,1008.9,0,13,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412614800,2014,10,6,19,"Monday",20,0,24.1,8,292.5,24.9,71,1009,0,13,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412618400,2014,10,6,20,"Monday",21,0,14.5,6.4,292.5,24.4,75,1009.1,0,14,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412622000,2014,10,6,21,"Monday",22,0,6.4,1.6,292.5,24.1,75,1009.3,0,14,NA,NA,NA,NA,15
257,39.4614520571,-0.4004871671,15,1412625600,2014,10,6,22,"Monday",23,0,3.2,0,180,23.8,77,1009.9,0,14,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412629200,2014,10,6,23,"Monday",24,0,9.7,3.2,180,22.6,80,1010.4,0,13,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412632800,2014,10,7,0,"Tuesday",25,0,6.4,3.2,180,21.6,82,1010.5,0,15,NA,NA,NA,NA,13
257,39.4614520571,-0.4004871671,15,1412636400,2014,10,7,1,"Tuesday",26,0,8,3.2,180,21.2,83,1010.6,0,14,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412640000,2014,10,7,2,"Tuesday",27,0,4.8,1.6,225,20.7,82,1010.6,0,13,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412643600,2014,10,7,3,"Tuesday",28,0,9.7,3.2,202.5,20.4,73,1010.5,0,13,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412647200,2014,10,7,4,"Tuesday",29,0,11.3,4.8,180,20.6,55,1010.2,0,14,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412650800,2014,10,7,5,"Tuesday",30,0,1.6,0,112.5,19.8,57,1010,0,14,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412654400,2014,10,7,6,"Tuesday",31,0,19.3,11.3,202.5,20.4,54,1010,0,14,NA,NA,NA,NA,14
257,39.4614520571,-0.4004871671,15,1412658000,2014,10,7,7,"Tuesday",32,0,9.7,1.6,225,20.1,58,1010.3,0,14,NA,NA,NA,NA,15
257,39.4614520571,-0.4004871671,15,1412661600,2014,10,7,8,"Tuesday",33,0,11.3,4.8,225,19.5,60,1010.6,0,14,NA,NA,NA,NA,8
257,39.4614520571,-0.4004871671,15,1412665200,2014,10,7,9,"Tuesday",34,0,14.5,4.8,202.5,20.2,59,1010.8,0,14,NA,NA,NA,NA,6
257,39.4614520571,-0.4004871671,15,1412668800,2014,10,7,10,"Tuesday",35,0,14.5,6.4,202.5,21.6,56,1011.3,0,15,NA,NA,NA,NA,6
257,39.4614520571,-0.4004871671,15,1412672400,2014,10,7,11,"Tuesday",36,0,27.4,12.9,202.5,23.9,51,1011.5,0,8,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412676000,2014,10,7,12,"Tuesday",37,0,25.7,12.9,180,25.7,45,1011.4,0,6,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412679600,2014,10,7,13,"Tuesday",38,0,30.6,12.9,202.5,26.9,43,1011.1,0,6,NA,NA,NA,NA,5
257,39.4614520571,-0.4004871671,15,1412683200,2014,10,7,14,"Tuesday",39,0,20.9,9.7,225,28.1,40,1010.7,0,2,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412686800,2014,10,7,15,"Tuesday",40,0,33.8,11.3,247.5,29.1,38,1010,0,2,NA,NA,NA,NA,3
257,39.4614520571,-0.4004871671,15,1412690400,2014,10,7,16,"Tuesday",41,0,32.2,14.5,225,29.3,36,1009.5,0,5,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412694000,2014,10,7,17,"Tuesday",42,0,29,12.9,270,30.1,34,1009.2,0,3,NA,NA,NA,NA,6
257,39.4614520571,-0.4004871671,15,1412697600,2014,10,7,18,"Tuesday",43,0,22.5,11.3,225,30.3,32,1008.9,0,3,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412701200,2014,10,7,19,"Tuesday",44,0,22.5,11.3,315,26.3,66,1009,0,4,NA,NA,NA,NA,4
257,39.4614520571,-0.4004871671,15,1412704800,2014,10,7,20,"Tuesday",45,0,17.7,8,292.5,24.9,71,1009.6,0,6,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412708400,2014,10,7,21,"Tuesday",46,0,17.7,8,292.5,24.7,65,1010.3,0,4,NA,NA,NA,NA,2
257,39.4614520571,-0.4004871671,15,1412712000,2014,10,7,22,"Tuesday",47,0,4.8,1.6,202.5,24.3,64,1010.8,0,4,NA,NA,NA,NA,3
